SIMULATION_UUID,RESOURCE_PREPARE_TIME_MEAN,RESOURCE_PREPARE_TIME_STD,ARRIVAL_PATTERN,BROKER_TYPE,SET_RASPOREDA,USER_COUNT,MAX_AVAILABLE_RESOURCES,CRITICAL_UTILISATION_PERCENT,READY_COUNT,RESOURCE_ADD_NUMBER,INITIAL_WAVE_KNOWN,AVG_UTILIZATION,AVG_WAIT_TIME,TOTAL_SLA_BROKEN,FINAL_RESOURCE_COUNT
55dbd3aa-997b-44c7-aa68-f389f11b5a81,10.0,0.2,1,2,4,120,30,0.4,10,5,True,45.8,0.0,0,20
e84ee3ef-689f-4017-b6c7-a3fbda59c311,20.0,0.2,2,2,2,100,30,0.5,20,10,True,70.7,10.8,44,30
5722e002-1c1a-4f99-9959-45a0ee45b65d,30.0,0.2,2,2,3,130,40,0.3,15,10,False,80.0,47.9,240,39
bbea2be7-6ae6-4747-83ee-7dcfacf295d5,10.0,0.2,3,2,4,100,20,0.5,15,5,True,56.5,1.7,20,20
1f55e81d-b2bd-4b04-9fa4-7736c10d9b9a,20.0,0.2,3,2,5,120,40,0.7,10,5,False,47.5,9.1,76,40
d92c6dad-dbfb-4c17-9079-a212d173fd10,30.0,0.2,2,2,6,110,35,0.8,10,5,True,91.4,35.1,172,31
9cfa3944-fe4a-482d-8f6a-9188990edb43,10.0,0.2,1,2,7,110,45,0.3,20,10,True,57.5,0.1,4,21
13958867-cba5-4ffb-a28f-c337b88b9dc6,20.0,0.2,2,2,3,100,35,0.2,10,5,False,87.6,15.7,132,25
9028fc59-93ba-441e-8cbc-57259d2a719e,30.0,0.2,1,2,4,90,30,0.4,15,5,False,57.2,3.0,36,15
34bf38e3-cc7d-4918-b35b-982f09cef145,10.0,0.2,2,2,4,90,35,0.5,20,5,True,77.7,0.9,16,35
6c7c850c-2e06-4334-b984-44aa2b274c90,20.0,0.2,2,2,3,100,20,0.6,20,15,True,77.5,6.0,72,20
3cd67f95-e8a3-41bd-9dcb-d42d2cd1e81d,30.0,0.2,3,2,2,100,20,0.4,10,15,False,82.4,36.4,125,20
278ec01d-5ebf-4c8a-9c76-f829ccc88c36,10.0,0.2,3,2,1,110,25,0.4,15,5,False,54.0,0.9,12,25
a59d539f-a64a-4abf-8864-df1c4893e8bf,20.0,0.2,3,2,3,120,35,0.3,20,10,True,61.6,0.6,16,20
704ac765-88f1-4f5c-b539-6688e2c18e6c,30.0,0.2,3,2,5,120,35,0.2,10,5,True,62.5,3.5,56,19
1a320ed8-02b6-475a-9827-3a31e6020fa4,10.0,0.2,2,2,6,110,25,0.3,15,1,False,89.6,30.0,193,25
a3ba4da0-c38c-4bbe-865b-f7c67c07d87e,20.0,0.2,2,2,0,110,35,0.2,5,10,True,94.5,37.9,216,35
ca254047-c71a-48bd-b4d5-00ffc488bf5c,30.0,0.2,1,2,4,100,40,0.6,20,1,True,47.4,0.0,0,20
9025e858-1610-42f1-9652-fe36ff2db84f,10.0,0.2,1,2,3,110,40,0.4,20,1,True,51.1,0.0,0,21
8b547774-bfd6-4282-ba17-7f8f8c041a4e,20.0,0.2,3,2,2,90,40,0.5,15,5,True,68.5,3.1,24,32
41f51672-b7f3-4287-b947-f2b2ecb33f4d,10.0,0.2,1,3,4,120,30,0.4,10,5,True,88.1,29.6,260,10
3913faff-3c78-42f0-b271-7f520acb58fa,20.0,0.2,2,3,2,100,30,0.5,20,10,True,69.3,20.4,40,20
f4b00285-cff7-4872-8af3-daf87e014174,30.0,0.2,2,3,3,130,40,0.3,15,10,False,87.4,70.1,208,15
43c2d1a1-1f28-40de-97d3-f965dcd5b9de,10.0,0.2,3,3,4,100,20,0.5,15,5,True,72.4,12.5,100,15
7721f793-f1ca-428d-be63-e5f9356e67b4,20.0,0.2,3,3,5,120,40,0.7,10,5,False,93.2,62.8,300,10
20677ae3-e26c-4977-ace8-26bc2d246c25,30.0,0.2,2,3,6,110,35,0.8,10,5,True,85.6,54.2,76,10
bad3a8cd-ea3f-4d2a-b135-74ab2eb78c5e,10.0,0.2,1,3,7,110,45,0.3,20,10,True,60.2,0.2,8,20
2c4485a5-4c6b-4b71-8582-677e7f4edc5f,20.0,0.2,2,3,3,100,35,0.2,10,5,False,80.6,26.1,60,10
9e0fb7da-357b-4ce5-9ab8-c587b566df62,30.0,0.2,1,3,4,90,30,0.4,15,5,False,57.2,3.0,36,15
5d969220-f458-40f9-8e97-c4b478c58fc6,10.0,0.2,2,3,4,90,35,0.5,20,5,True,81.3,23.3,132,20
39d8e70b-a9b1-4e1e-8ac7-4643c9b98a57,20.0,0.2,2,3,3,100,20,0.6,20,15,True,77.5,6.0,72,20
de534c8a-0735-4eb9-a8be-f9935d30c5b3,30.0,0.2,3,3,2,100,20,0.4,10,15,False,86.5,77.2,100,10
00e93eb0-c85d-4ff8-b2fe-98a978e665d7,10.0,0.2,3,3,1,110,25,0.4,15,5,False,74.9,10.3,68,15
ecc10560-7ec2-4da2-9543-438693adca70,20.0,0.2,3,3,3,120,35,0.3,20,10,True,61.6,0.6,16,20
87221fc7-cd61-4c42-b5e0-f1b8c261c9c5,30.0,0.2,3,3,5,120,35,0.2,10,5,True,92.4,64.6,304,10
372084b5-eee1-4ab9-ae58-504c198558d4,10.0,0.2,2,3,6,110,25,0.3,15,1,False,86.4,52.1,152,15
7e094848-4bed-487a-a061-0b238e9c36f5,20.0,0.2,2,3,0,110,35,0.2,5,10,True,85.7,57.6,28,5
ee860bd9-90a1-4cc2-8239-6f4c9ab7d867,30.0,0.2,1,3,4,100,40,0.6,20,1,True,47.4,0.0,0,20
638f58c8-3ae9-4390-ba83-0b614bebe44e,10.0,0.2,1,3,3,110,40,0.4,20,1,True,53.7,0.0,0,20
868b6e0a-1104-40f8-bea4-8e051979e0e9,20.0,0.2,3,3,2,90,40,0.5,15,5,True,83.9,44.8,124,15
